Commune;Longitude;Latitude;Filière;Valeur (MW)
"Montoir-de-Bretagne";-2.145674435;47.31899433;"Fossil-fired thermal";446
"Blenod-lès-Pont-à-Mousson";6.062784084;48.87516226;"Fossil-fired thermal";450,5
"Laneuveville-devant-Nancy";6.241406233;48.64614236;"Fossil-fired thermal";96
"Toul";5.894699249;48.68663403;"Fossil-fired thermal";440
"Saint-Avold";6.712179748;49.12827603;"Fossil-fired thermal";1467,8
"Bouchain";3.311860438;50.28140950;"Fossil-fired thermal";563
"Grande-Synthe";2.290672410;51.01681963;"Fossil-fired thermal";808
"Pont-sur-Sambre";3.845700326;50.23144695;"Fossil-fired thermal";450
"Lacq";-0.612083822;43.42163242;"Fossil-fired thermal";93,99
"Gonfreville-l’Orcher";0.221756739;49.48654081;"Fossil-fired thermal";250
"Saint-Étienne-du-Rouvray";1.089611543;49.38161707;"Fossil-fired thermal";100
"Vaires-sur-Marne";2.635488627;48.86981433;"Fossil-fired thermal";600
"Vernou-la-Celle-sur-Seine";2.853873809;48.40630712;"Fossil-fired thermal";400
"Gennevilliers";2.293948366;48.93455033;"Fossil-fired thermal";240,7
"Saint-Ouen-sur-Seine";2.333479365;48.90958873;"Fossil-fired thermal";120
"Vitry-sur-Seine";2.394516175;48.78811788;"Fossil-fired thermal";350
"Gardanne";5.480111757;43.45289439;"Renewable thermal and waste";150
"Étagnac";0.783564815;45.89060632;"Renewable thermal and waste";55,25
"Biganos";-0.949163647;44.66095021;"Renewable thermal and waste";59,5
"Ivry-sur-Seine";2.387709570;48.81228797;"Renewable thermal and waste";55
