Commune;Longitude;Latitude;Filière;Valeur (MW)
"Saint-Vulbas";5.270396657;45.82240408;"Nuclear";3580
"Cruas";4.756095958;44.65649084;"Nuclear";3660
"Chooz";4.801001361;50.08952526;"Nuclear";3000
"Nogent-sur-Seine";3.499683362;48.49648710;"Nuclear";2620
"Belleville-sur-Loire";2.845586588;47.50149955;"Nuclear";2620
"Pierrelatte";4.687252631;44.36083480;"Nuclear";3660
"Braud-et-Saint-Louis";-0.647924383;45.25479067;"Nuclear";3640
"Avoine";0.187166661;47.22409223;"Nuclear";3620
"Saint-Maurice-l’Exil";4.777154843;45.39238087;"Nuclear";2670
"Saint-Laurent-Nouan";1.625295243;47.70952952;"Nuclear";1830
"Dampierre-en-Burly";2.542693320;47.76138113;"Nuclear";3560
"Flamanville";-1.868506357;49.53057549;"Nuclear";4280
"Cattenom";6.235282633;49.41553951;"Nuclear";5200
"Gravelines";2.143752093;50.99822570;"Nuclear";5460
"Paluel";0.630747639;49.84403782;"Nuclear";5320
"Petit-Caux";1.254781330;49.95514182;"Nuclear";2660
"Golfech";0.857533366;44.11014858;"Nuclear";2620
"Civaux";0.668197909;46.44236576;"Nuclear";2990
"Anglefort";5.795056707;45.90909175;"Hydropower";91,6
"Bregnier-Cordon";5.616807583;45.64131794;"Hydropower";70,4
"Injoux-Genissiat";5.759597437;46.04988202;"Hydropower";405
"Virignin";5.713059797;45.72677708;"Hydropower";90,8
"Ubaye-Serre-Ponçon";6.318591585;44.44149886;"Hydropower";370
"Demandolx";6.573450014;43.86986455;"Hydropower";51
"Oraison";5.924809451;43.91127358;"Hydropower";187
"Sainte-Croix-du-Verdon";6.151769952;43.76430720;"Hydropower";132,27
"Salignac";5.988662150;44.15786015;"Hydropower";78
"Sisteron";5.930491809;44.20082451;"Hydropower";214
"Venterol";6.087228387;44.44255174;"Hydropower";139
"Clans";7.178897544;44.00475299;"Hydropower";52
"Saint-Martin-Vesubie";7.302778490;44.10217866;"Hydropower";52,1
"Beauchastel";4.797645895;44.82979839;"Hydropower";222,8
"Montpezat-sous-Bauzon";4.196722220;44.71643369;"Hydropower";131,8
"Les Mazures";4.631286041;49.89700799;"Hydropower";808
"Aston";1.659353852;42.68104548;"Hydropower";104
"Auzat";1.443093705;42.70207485;"Hydropower";54,86
"L’Hospitalet-près-l’Andorre";1.777278569;42.59548507;"Hydropower";93,3
"Orlu";1.936807374;42.65822044;"Hydropower";88,8
"Sainte-Colombe-sur-Guette";2.248903090;42.75276711;"Hydropower";54
"Brommat";2.704970778;44.82893790;"Hydropower";589
"Montezic";2.641313705;44.71681554;"Hydropower";910
"Saint-Hippolyte";2.584212537;44.72623069;"Hydropower";119
"Le Truel";2.747631913;44.05385650;"Hydropower";446,94
"Jouques";5.656550704;43.63323182;"Hydropower";71,5
"Mallemort";5.183557460;43.72866948;"Hydropower";93
"Saint-Chamas";5.072944698;43.54384507;"Hydropower";159
"Saint-Estève-Janson";5.389598590;43.69254241;"Hydropower";141
"Fridefont";3.095325042;44.90577884;"Hydropower";74,1
"Saint-Étienne-Cantalès";2.244033145;44.94942616;"Hydropower";106,5
"Saint-Pierre";2.381716946;45.39561008;"Hydropower";120,2
"Bort-les-Orgues";2.491791231;45.39332547;"Hydropower";232,2
"Camps-Saint-Mathurin-Leobazel";1.994669139;44.99243010;"Hydropower";95,7
"Liginiac";2.323639144;45.40484537;"Hydropower";146
"Saint-Martin-la-Meanne";1.994930289;45.17139225;"Hydropower";293
"Soursac";2.203482920;45.26141251;"Hydropower";360
"Bourg-lès-Valence";4.894101508;44.96507463;"Hydropower";186
"Châteauneuf-du-Rhône";4.724638508;44.50348060;"Hydropower";285
"Les Tourrettes";4.801904885;44.66538008;"Hydropower";210
"Gervans";4.832284849;45.10889525;"Hydropower";116
"Sainte-Lucie-de-Tallano";9.061131739;41.66813487;"Hydropower";55
"Beaucaire";4.593839950;43.77973690;"Hydropower";210
"Sauveterre";4.808792976;44.01635973;"Hydropower";52
"Castillon-de-Larboust";0.557966825;42.73944247;"Hydropower";56,23
"Mons";2.962566238;43.56962545;"Hydropower";95
"La Richardais";-2.043714949;48.60921441;"Hydropower";240
"Cuzion";1.616983193;46.47169188;"Hydropower";71,6
"Auris";6.083826333;45.05238403;"Hydropower";116
"Le Bourg-d’Oisans";6.032833176;45.03406113;"Hydropower";51,3
"Le Cheylas";5.998433447;45.38136700;"Hydropower";485
"Livet-et-Gavet";5.918919296;45.09058925;"Hydropower";93
"Monteynard";5.702215866;44.98035018;"Hydropower";366
"Pellafol";5.880496090;44.78232765;"Hydropower";76,5
"Reventin-Vaugris";4.844080835;45.47952356;"Hydropower";61
"Sablons";4.784775499;45.32160535;"Hydropower";160,7
"Saint-Georges-de-Commiers";5.718490704;45.03601286;"Hydropower";60,8
"Saint-Jean-d’Herans";5.753141463;44.85468237;"Hydropower";101
"Châtel-en-Trièves";5.827034714;44.82892733;"Hydropower";57,4
"Vaujany";6.100988005;45.18617704;"Hydropower";1690
"Cernon";5.643405807;46.41231446;"Hydropower";285
"Commelle-Vernay";4.059799405;45.99503469;"Hydropower";65,76
"Pied-de-Borne";3.968128358;44.48072398;"Hydropower";109,4
"Laruns";-0.419707284;42.89226100;"Hydropower";74
"Gavarnie-Gèdre";0.008564581;42.75432640;"Hydropower";188,9
"Sassis";-0.016788689;42.87645952;"Hydropower";74,57
"Gambsheim";7.884073657;48.69246706;"Hydropower";98
"Gerstheim";7.704407157;48.38110200;"Hydropower";140,51
"Marckolsheim";7.560674773;48.14964326;"Hydropower";155
"Rhinau";7.704332035;48.31165058;"Hydropower";167,0000001
"Fessenheim";7.532949958;47.90993781;"Hydropower";175
"Kembs";7.500491027;47.67972375;"Hydropower";151,1
"Ottmarsheim";7.493011644;47.78630824;"Hydropower";156
"Vogelgrun";7.584858330;48.01065614;"Hydropower";140,5
"Saint-Fons";4.850533612;45.70152208;"Hydropower";80,8
"Grand-Aigueblanche";6.508542979;45.51182579;"Hydropower";384
"Avrieux";6.746456008;45.17768470;"Hydropower";568,54
"La Bâthie";6.474038790;45.63824092;"Hydropower";546
"La Tour-en-Maurienne";6.374038262;45.31813605;"Hydropower";125,4
"Orelle";6.560489484;45.19851136;"Hydropower";147,68
"Planay";6.714643188;45.42290392;"Hydropower";66,86
"Val-d’Arc";6.321942232;45.54128047;"Hydropower";124,19
"Saint-Andre";6.615906358;45.22422491;"Hydropower";742,26
"Saint-Michel-de-Maurienne";6.493756419;45.23849190;"Hydropower";145,4
"Seez";6.835514646;45.64818576;"Hydropower";297
"Tignes";6.936407989;45.48159744;"Hydropower";96
"Passy";6.740021109;45.95411560;"Hydropower";104
"Vallorcine";6.899883598;46.02569084;"Hydropower";190
"Golfech";0.857533366;44.11014858;"Hydropower";69
"Avignon";4.841098356;43.93544134;"Hydropower";110
"Bollène";4.752512797;44.28805874;"Hydropower";345
"Caderousse";4.743713099;44.11028845;"Hydropower";156
"Peyrat-le-Château";1.782341228;45.80828394;"Hydropower";63,5
"Bayet";3.276443586;46.25779880;"Fossil-fired thermal";442
"Berre-l’Étang";5.160403273;43.50356483;"Fossil-fired thermal";61,3
"Fos-sur-Mer";4.904157246;43.45609405;"Fossil-fired thermal";1054
"Martigues";5.049574139;43.37976550;"Fossil-fired thermal";1058
"Le Lardin-Saint-Lazare";1.232181259;45.13621742;"Fossil-fired thermal";87,2
"Brennilis";-3.850904377;48.35990823;"Fossil-fired thermal";309
"Dirinon";-4.269211338;48.40085118;"Fossil-fired thermal";184
"Landivisiau";-4.060783998;48.51640249;"Fossil-fired thermal";446
"Ajaccio";8.700945213;41.93472071;"Fossil-fired thermal";132
"Lucciana";9.473319561;42.54149497;"Fossil-fired thermal";112
"Le Pont-de-Claix";5.701767719;45.12591967;"Fossil-fired thermal";78
"Abergement-la-Ronce";5.377713826;47.06479496;"Fossil-fired thermal";176,25
"Cordemais";-1.835346540;47.29728269;"Fossil-fired thermal";1160
