Date;Filière;Valeur (TWh);Nature
1995-01;"Nuclear";36,909;Données Consolidées
1995-02;"Nuclear";30,157;Données Consolidées
1995-03;"Nuclear";32,737;Données Consolidées
1995-04;"Nuclear";29,125;Données Consolidées
1995-05;"Nuclear";26,749;Données Consolidées
1995-06;"Nuclear";25,495;Données Consolidées
1995-07;"Nuclear";26,685;Données Consolidées
1995-08;"Nuclear";27,486;Données Consolidées
1995-09;"Nuclear";26,508;Données Consolidées
1995-10;"Nuclear";29,582;Données Consolidées
1995-11;"Nuclear";32,815;Données Consolidées
1995-12;"Nuclear";34,531;Données Consolidées
1996-01;"Nuclear";36,782;Données Consolidées
1996-02;"Nuclear";34,024;Données Consolidées
1996-03;"Nuclear";34,341;Données Consolidées
1996-04;"Nuclear";31,693;Données Consolidées
1996-05;"Nuclear";28,81;Données Consolidées
1996-06;"Nuclear";26,22;Données Consolidées
1996-07;"Nuclear";28,556;Données Consolidées
1996-08;"Nuclear";28,291;Données Consolidées
1996-09;"Nuclear";29,29;Données Consolidées
1996-10;"Nuclear";32,395;Données Consolidées
1996-11;"Nuclear";33,218;Données Consolidées
1996-12;"Nuclear";34,605;Données Consolidées
1997-01;"Nuclear";35,313;Données Consolidées
1997-02;"Nuclear";31,136;Données Consolidées
1997-03;"Nuclear";32,66;Données Consolidées
1997-04;"Nuclear";33,205;Données Consolidées
1997-05;"Nuclear";29,722;Données Consolidées
1997-06;"Nuclear";27,728;Données Consolidées
1997-07;"Nuclear";28,69;Données Consolidées
1997-08;"Nuclear";27,994;Données Consolidées
1997-09;"Nuclear";28,908;Données Consolidées
1997-10;"Nuclear";32,644;Données Consolidées
1997-11;"Nuclear";33,259;Données Consolidées
1997-12;"Nuclear";34,676;Données Consolidées
1998-01;"Nuclear";36,954;Données Consolidées
1998-02;"Nuclear";33,565;Données Consolidées
1998-03;"Nuclear";34,315;Données Consolidées
1998-04;"Nuclear";29,984;Données Consolidées
1998-05;"Nuclear";28,369;Données Consolidées
1998-06;"Nuclear";27,214;Données Consolidées
1998-07;"Nuclear";27,803;Données Consolidées
1998-08;"Nuclear";24,47;Données Consolidées
1998-09;"Nuclear";27,45;Données Consolidées
1998-10;"Nuclear";31,551;Données Consolidées
1998-11;"Nuclear";32,598;Données Consolidées
1998-12;"Nuclear";34,227;Données Consolidées
1999-01;"Nuclear";36,266;Données Consolidées
1999-02;"Nuclear";32,072;Données Consolidées
1999-03;"Nuclear";32,785;Données Consolidées
1999-04;"Nuclear";31,826;Données Consolidées
1999-05;"Nuclear";26,807;Données Consolidées
1999-06;"Nuclear";27,098;Données Consolidées
1999-07;"Nuclear";29,901;Données Consolidées
1999-08;"Nuclear";28,715;Données Consolidées
1999-09;"Nuclear";29,687;Données Consolidées
1999-10;"Nuclear";32,075;Données Consolidées
1999-11;"Nuclear";32,92;Données Consolidées
1999-12;"Nuclear";34,762;Données Consolidées
2000-01;"Nuclear";36,298;Données Consolidées
2000-02;"Nuclear";33,699;Données Consolidées
2000-03;"Nuclear";35,869;Données Consolidées
2000-04;"Nuclear";32,216;Données Consolidées
2000-05;"Nuclear";30,667;Données Consolidées
2000-06;"Nuclear";29,45;Données Consolidées
2000-07;"Nuclear";31,112;Données Consolidées
