Date;Filière;Valeur (TWh);Nature
2000-08;"Nuclear";30,301;Données Consolidées
2000-09;"Nuclear";31,039;Données Consolidées
2000-10;"Nuclear";33,379;Données Consolidées
2000-11;"Nuclear";34,639;Données Consolidées
2000-12;"Nuclear";36,531;Données Consolidées
2001-01;"Nuclear";38,723;Données Consolidées
2001-02;"Nuclear";33,166;Données Consolidées
2001-03;"Nuclear";33,605;Données Consolidées
2001-04;"Nuclear";31,417;Données Consolidées
2001-05;"Nuclear";28,757;Données Consolidées
2001-06;"Nuclear";28,39;Données Consolidées
2001-07;"Nuclear";31,032;Données Consolidées
2001-08;"Nuclear";30,607;Données Consolidées
2001-09;"Nuclear";32,756;Données Consolidées
2001-10;"Nuclear";35,628;Données Consolidées
2001-11;"Nuclear";37,051;Données Consolidées
2001-12;"Nuclear";38,453;Données Consolidées
2002-01;"Nuclear";40,003;Données Consolidées
2002-02;"Nuclear";34,316;Données Consolidées
2002-03;"Nuclear";35,481;Données Consolidées
2002-04;"Nuclear";35,513;Données Consolidées
2002-05;"Nuclear";33,522;Données Consolidées
2002-06;"Nuclear";31,07;Données Consolidées
2002-07;"Nuclear";32,89;Données Consolidées
2002-08;"Nuclear";30,347;Données Consolidées
2002-09;"Nuclear";32,104;Données Consolidées
2002-10;"Nuclear";35,087;Données Consolidées
2002-11;"Nuclear";36,195;Données Consolidées
2002-12;"Nuclear";38,987;Données Consolidées
2003-01;"Nuclear";40,335;Données Consolidées
2003-02;"Nuclear";36,454;Données Consolidées
2003-03;"Nuclear";35,837;Données Consolidées
2003-04;"Nuclear";34,449;Données Consolidées
2003-05;"Nuclear";32,444;Données Consolidées
2003-06;"Nuclear";30,969;Données Consolidées
2003-07;"Nuclear";33,132;Données Consolidées
2003-08;"Nuclear";29,972;Données Consolidées
2003-09;"Nuclear";31,437;Données Consolidées
2003-10;"Nuclear";35,451;Données Consolidées
2003-11;"Nuclear";37,666;Données Consolidées
2003-12;"Nuclear";41,668;Données Consolidées
2004-01;"Nuclear";41,764;Données Consolidées
2004-02;"Nuclear";36,195;Données Consolidées
2004-03;"Nuclear";36,113;Données Consolidées
2004-04;"Nuclear";33,943;Données Consolidées
2004-05;"Nuclear";32,039;Données Consolidées
2004-06;"Nuclear";30,499;Données Consolidées
2004-07;"Nuclear";32,408;Données Consolidées
2004-08;"Nuclear";30,449;Données Consolidées
2004-09;"Nuclear";33,064;Données Consolidées
2004-10;"Nuclear";37,584;Données Consolidées
2004-11;"Nuclear";39,283;Données Consolidées
2004-12;"Nuclear";43,542;Données Consolidées
2005-01;"Nuclear";42,475;Données Consolidées
2005-02;"Nuclear";36,432;Données Consolidées
2005-03;"Nuclear";36,777;Données Consolidées
2005-04;"Nuclear";33,286;Données Consolidées
2005-05;"Nuclear";33,345;Données Consolidées
2005-06;"Nuclear";32,849;Données Consolidées
2005-07;"Nuclear";32,109;Données Consolidées
2005-08;"Nuclear";33,132;Données Consolidées
2005-09;"Nuclear";33,41;Données Consolidées
2005-10;"Nuclear";35,715;Données Consolidées
2005-11;"Nuclear";38,395;Données Consolidées
2005-12;"Nuclear";42,053;Données Consolidées
2006-01;"Nuclear";42,768;Données Consolidées
2006-02;"Nuclear";35,118;Données Consolidées
2006-03;"Nuclear";35,324;Données Consolidées
2006-04;"Nuclear";35,88;Données Consolidées
2006-05;"Nuclear";33,949;Données Consolidées
2006-06;"Nuclear";32,834;Données Consolidées
2006-07;"Nuclear";32,9;Données Consolidées
2006-08;"Nuclear";32,698;Données Consolidées
2006-09;"Nuclear";33,831;Données Consolidées
2006-10;"Nuclear";35,706;Données Consolidées
2006-11;"Nuclear";37,249;Données Consolidées
2006-12;"Nuclear";40,408;Données Consolidées
2007-01;"Nuclear";40,872;Données Consolidées
2007-02;"Nuclear";36,169;Données Consolidées
2007-03;"Nuclear";36,738;Données Consolidées
2007-04;"Nuclear";31,721;Données Consolidées
2007-05;"Nuclear";31,803;Données Consolidées
2007-06;"Nuclear";30,865;Données Consolidées
2007-07;"Nuclear";31,819;Données Consolidées
2007-08;"Nuclear";32,611;Données Consolidées
2007-09;"Nuclear";33,301;Données Consolidées
2007-10;"Nuclear";36,896;Données Consolidées
2007-11;"Nuclear";35,806;Données Consolidées
2007-12;"Nuclear";40,008;Données Consolidées
2008-01;"Nuclear";40,922;Données Consolidées
2008-02;"Nuclear";38,9;Données Consolidées
2008-03;"Nuclear";37,203;Données Consolidées
2008-04;"Nuclear";34,294;Données Consolidées
2008-05;"Nuclear";31,972;Données Consolidées
2008-06;"Nuclear";28,517;Données Consolidées
2008-07;"Nuclear";31,835;Données Consolidées
2008-08;"Nuclear";32,025;Données Consolidées
2008-09;"Nuclear";31,239;Données Consolidées
2008-10;"Nuclear";33,949;Données Consolidées
2008-11;"Nuclear";36,113;Données Consolidées
2008-12;"Nuclear";41,309;Données Consolidées
2009-01;"Nuclear";43,093;Données Consolidées
2009-02;"Nuclear";37,051;Données Consolidées
2009-03;"Nuclear";35,932;Données Consolidées
2009-04;"Nuclear";30,862;Données Consolidées
2009-05;"Nuclear";29,883;Données Consolidées
2009-06;"Nuclear";27,129;Données Consolidées
2009-07;"Nuclear";28,9;Données Consolidées
2009-08;"Nuclear";28,228;Données Consolidées
2009-09;"Nuclear";28,68;Données Consolidées
2009-10;"Nuclear";30,932;Données Consolidées
2009-11;"Nuclear";31,461;Données Consolidées
2009-12;"Nuclear";37,847;Données Consolidées
2010-01;"Nuclear";40,313;Données Consolidées
2010-02;"Nuclear";36,316;Données Consolidées
2010-03;"Nuclear";35,984;Données Consolidées
2010-04;"Nuclear";31,294;Données Consolidées
2010-05;"Nuclear";29,372;Données Consolidées
2010-06;"Nuclear";29,575;Données Consolidées
2010-07;"Nuclear";31,744;Données Consolidées
2010-08;"Nuclear";32,391;Données Consolidées
2010-09;"Nuclear";31,657;Données Consolidées
2010-10;"Nuclear";31,885;Données Consolidées
2010-11;"Nuclear";35,455;Données Consolidées
2010-12;"Nuclear";41,889;Données Consolidées
2011-01;"Nuclear";43,853;Données Consolidées
2011-02;"Nuclear";38,328;Données Consolidées
2011-03;"Nuclear";37,688;Données Consolidées
2011-04;"Nuclear";32,85;Données Consolidées
2011-05;"Nuclear";33,07;Données Consolidées
2011-06;"Nuclear";32,589;Données Consolidées
2011-07;"Nuclear";33,487;Données Consolidées
2011-08;"Nuclear";31,383;Données Consolidées
2011-09;"Nuclear";31,477;Données Consolidées
2011-10;"Nuclear";32,824;Données Consolidées
2011-11;"Nuclear";33,705;Données Consolidées
2011-12;"Nuclear";39,864;Données Consolidées
2012-01;"Nuclear";42,811;Données Consolidées
2012-02;"Nuclear";38,661;Données Consolidées
2012-03;"Nuclear";37,549;Données Consolidées
2012-04;"Nuclear";33,1;Données Consolidées
2012-05;"Nuclear";29,058;Données Consolidées
2012-06;"Nuclear";26,562;Données Consolidées
2012-07;"Nuclear";28,818;Données Consolidées
2012-08;"Nuclear";28,314;Données Consolidées
2012-09;"Nuclear";30,13;Données Consolidées
2012-10;"Nuclear";32,848;Données Consolidées
2012-11;"Nuclear";37,119;Données Consolidées
2012-12;"Nuclear";39,912;Données Consolidées
2013-01;"Nuclear";42,406;Données Consolidées
2013-02;"Nuclear";36,754;Données Consolidées
2013-03;"Nuclear";36,786;Données Consolidées
2013-04;"Nuclear";31,498;Données Consolidées
2013-05;"Nuclear";31,172;Données Consolidées
2013-06;"Nuclear";28,62;Données Consolidées
2013-07;"Nuclear";30,695;Données Consolidées
2013-08;"Nuclear";29,908;Données Consolidées
2013-09;"Nuclear";29,759;Données Consolidées
2013-10;"Nuclear";31,105;Données Consolidées
2013-11;"Nuclear";34,631;Données Consolidées
2013-12;"Nuclear";40,423;Données Consolidées
2014-01;"Nuclear";42,697272529;Données Consolidées
2014-02;"Nuclear";36,396235447;Données Consolidées
2014-03;"Nuclear";35,796054646;Données Consolidées
2014-04;"Nuclear";31,206547209;Données Consolidées
2014-05;"Nuclear";31,710544312;Données Consolidées
2014-06;"Nuclear";30,991109222;Données Consolidées
2014-07;"Nuclear";33,390878366;Données Consolidées
2014-08;"Nuclear";30,98214339;Données Consolidées
2014-09;"Nuclear";31,938587067;Données Consolidées
2014-10;"Nuclear";32,797760455;Données Consolidées
2014-11;"Nuclear";36,286603252;Données Consolidées
2014-12;"Nuclear";41,63302429;Données Consolidées
2015-01;"Nuclear";43,791488657;Données Consolidées
2015-02;"Nuclear";37,482320665;Données Consolidées
2015-03;"Nuclear";36,914547292;Données Consolidées
2015-04;"Nuclear";31,186698518;Données Consolidées
2015-05;"Nuclear";30,328966017;Données Consolidées
2015-06;"Nuclear";30,717391599;Données Consolidées
2015-07;"Nuclear";33,268760518;Données Consolidées
2015-08;"Nuclear";31,992992083;Données Consolidées
2015-09;"Nuclear";30,632457517;Données Consolidées
2015-10;"Nuclear";34,485949151;Données Consolidées
2015-11;"Nuclear";35,678647455;Données Consolidées
2015-12;"Nuclear";40,291619544;Données Consolidées
2016-01;"Nuclear";41,588497132;Données Consolidées
2016-02;"Nuclear";37,323009399;Données Consolidées
2016-03;"Nuclear";37,177149961;Données Consolidées
2016-04;"Nuclear";31,057041779;Données Consolidées
2016-05;"Nuclear";29,4393355;Données Consolidées
2016-06;"Nuclear";28,639486961;Données Consolidées
2016-07;"Nuclear";28,342361051;Données Consolidées
2016-08;"Nuclear";27,113130645;Données Consolidées
2016-09;"Nuclear";26,478460131;Données Consolidées
2016-10;"Nuclear";29,019544167;Données Consolidées
2016-11;"Nuclear";31,148968325;Données Consolidées
2016-12;"Nuclear";36,648669139;Données Consolidées
2017-01;"Nuclear";40,491546163667;Données Consolidées
2017-02;"Nuclear";33,689348332999;Données Consolidées
2017-03;"Nuclear";34,272584850666;Données Consolidées
2017-04;"Nuclear";31,752167625837;Données Consolidées
2017-05;"Nuclear";30,136479560664;Données Consolidées
2017-06;"Nuclear";26,881570487665;Données Consolidées
2017-07;"Nuclear";28,158949644167;Données Consolidées
2017-08;"Nuclear";28,585312193166;Données Consolidées
2017-09;"Nuclear";29,345826152166;Données Consolidées
2017-10;"Nuclear";28,053906030166;Données Consolidées
2017-11;"Nuclear";30,334659935334;Données Consolidées
2017-12;"Nuclear";37,382680159334;Données Consolidées
2018-01;"Nuclear";40,792988055835;Données Consolidées
2018-02;"Nuclear";36,409552789833;Données Consolidées
2018-03;"Nuclear";35,678215544833;Données Consolidées
2018-04;"Nuclear";30,592859141335;Données Consolidées
2018-05;"Nuclear";30,581938587499;Données Consolidées
2018-06;"Nuclear";28,624022986332;Données Consolidées
2018-07;"Nuclear";29,958812298334;Données Consolidées
2018-08;"Nuclear";27,294682993332;Données Consolidées
2018-09;"Nuclear";30,098993516666;Données Consolidées
2018-10;"Nuclear";31,613910839835;Données Consolidées
2018-11;"Nuclear";32,658276813835;Données Consolidées
2018-12;"Nuclear";38,890266086336;Données Consolidées
2019-01;"Nuclear";40,157955925498;Données Consolidées
2019-02;"Nuclear";36,089868409333;Données Consolidées
2019-03;"Nuclear";35,497659047164;Données Consolidées
2019-04;"Nuclear";31,756632938166;Données Consolidées
2019-05;"Nuclear";31,668783221834;Données Consolidées
2019-06;"Nuclear";28,560142913833;Données Consolidées
2019-07;"Nuclear";29,194282207;Données Consolidées
2019-08;"Nuclear";27,721121022336;Données Consolidées
2019-09;"Nuclear";27,533421486166;Données Consolidées
2019-10;"Nuclear";29,162874816835;Données Consolidées
2019-11;"Nuclear";29,133620008001;Données Consolidées
2019-12;"Nuclear";32,984750620501;Données Consolidées
2020-01;"Nuclear";37,351314809338;Données Consolidées
2020-02;"Nuclear";33,177686259498;Données Consolidées
2020-03;"Nuclear";30,623833102496;Données Consolidées
2020-04;"Nuclear";26,823039148328;Données Consolidées
2020-05;"Nuclear";24,714613244836;Données Consolidées
2020-06;"Nuclear";21,334596445834;Données Consolidées
2020-07;"Nuclear";22,49847065383;Données Consolidées
2020-08;"Nuclear";22,875852133;Données Consolidées
2020-09;"Nuclear";21,739624138333;Données Consolidées
2020-10;"Nuclear";28,270693503166;Données Consolidées
2020-11;"Nuclear";31,564590736489;Données Consolidées
2020-12;"Nuclear";34,431262285226;Données Consolidées
2021-01;"Nuclear";37,174108035832;Données Consolidées
2021-02;"Nuclear";30,336785591833;Données Consolidées
2021-03;"Nuclear";31,69479333367;Données Consolidées
2021-04;"Nuclear";27,208831896503;Données Consolidées
2021-05;"Nuclear";27,573972984165;Données Consolidées
2021-06;"Nuclear";27,714204398831;Données Consolidées
2021-07;"Nuclear";28,449016344664;Données Consolidées
2021-08;"Nuclear";29,010558217169;Données Consolidées
2021-09;"Nuclear";29,000377609003;Données Consolidées
2021-10;"Nuclear";30,656001827667;Données Consolidées
2021-11;"Nuclear";30,369317417002;Données Consolidées
2021-12;"Nuclear";31,501749478839;Données Consolidées
2022-01;"Nuclear";35,219864217167;Données Consolidées
2022-02;"Nuclear";29,577611471501;Données Consolidées
2022-03;"Nuclear";26,851697454331;Données Consolidées
2022-04;"Nuclear";21,76564298917;Données Consolidées
2022-05;"Nuclear";20,52949872166;Données Consolidées
2022-06;"Nuclear";20,174820272946;Données Consolidées
2022-07;"Nuclear";18,780955418368;Données Consolidées
2022-08;"Nuclear";18,133046525454;Données Consolidées
2022-09;"Nuclear";18,190495548696;Données Consolidées
2022-10;"Nuclear";20,224827015238;Données Consolidées
2022-11;"Nuclear";21,59726364462;Données Consolidées
2022-12;"Nuclear";27,91236863021;Données Consolidées
2023-01;"Nuclear";30,770802043993;Données Consolidées
2023-02;"Nuclear";28,786849073504;Données Consolidées
2023-03;"Nuclear";25,637451082995;Données Consolidées
2023-04;"Nuclear";24,990279800504;Données Consolidées
2023-05;"Nuclear";25,176602810326;Données Consolidées
2023-06;"Nuclear";22,723899675663;Données Consolidées
2023-07;"Nuclear";24,063773120657;Données Consolidées
2023-08;"Nuclear";23,944547601173;Données Consolidées
2023-09;"Nuclear";26,941770872344;Données Consolidées
2023-10;"Nuclear";28,250480445677;Données Consolidées
2023-11;"Nuclear";27,579291335504;Données Consolidées
2023-12;"Nuclear";31,530377952096;Données Consolidées
2024-01;"Nuclear";35,925790564938;Données Consolidées
2024-02;"Nuclear";30,732701088268;Données Consolidées
2024-03;"Nuclear";29,894501689584;Données Consolidées
2024-04;"Nuclear";26,670103615333;Données Consolidées
2024-05;"Nuclear";27,846070517741;Données Consolidées
2024-06;"Nuclear";26,367144548511;Données Consolidées
2024-07;"Nuclear";28,581336680507;Données Consolidées
2024-08;"Nuclear";28,598406833673;Données Consolidées
2024-09;"Nuclear";27,447947349506;Données Consolidées
2024-10;"Nuclear";29,963102453516;Données Consolidées
2024-11;"Nuclear";33,030789641422;Données Consolidées
2024-12;"Nuclear";36,651863008421;Données Consolidées
2025-01;"Nuclear";38,768351017735;Données Consolidées
2025-02;"Nuclear";32,005365712429;Données Consolidées
2025-03;"Nuclear";32,273660059002;Données Consolidées
2025-04;"Nuclear";27,070799856826;Données Consolidées
2025-05;"Nuclear";25,512705626909;Données Consolidées
2025-06;"Nuclear";26,209817406101;Données Consolidées
2025-07;"Nuclear";29,533908364995;Données Consolidées
2025-08;"Nuclear";28,619545303237;Données Consolidées
2025-09;"Nuclear";29,148670584581;Données Consolidées
2025-10;"Nuclear";30,38235590784;Données Consolidées
2025-11;"Nuclear";34,042689887514;Données Consolidées
2025-12;"Nuclear";39,459307200847;Données Consolidées
2026-01;"Nuclear";38,329066896412;Données Consolidées
2026-02;"Nuclear";32,424366;Données provisoires
1995-01;"Hydropower";7,716;Données Consolidées
1995-02;"Hydropower";7,403;Données Consolidées
1995-03;"Hydropower";8,33;Données Consolidées
1995-04;"Hydropower";6,564;Données Consolidées
1995-05;"Hydropower";7,624;Données Consolidées
1995-06;"Hydropower";7,101;Données Consolidées
1995-07;"Hydropower";6,325;Données Consolidées
1995-08;"Hydropower";4,538;Données Consolidées
1995-09;"Hydropower";5,324;Données Consolidées
1995-10;"Hydropower";4,69;Données Consolidées
1995-11;"Hydropower";4,484;Données Consolidées
1995-12;"Hydropower";5,691;Données Consolidées
1996-01;"Hydropower";7,083;Données Consolidées
1996-02;"Hydropower";6,652;Données Consolidées
1996-03;"Hydropower";5,788;Données Consolidées
1996-04;"Hydropower";4,849;Données Consolidées
1996-05;"Hydropower";6,481;Données Consolidées
1996-06;"Hydropower";6,173;Données Consolidées
1996-07;"Hydropower";5,423;Données Consolidées
1996-08;"Hydropower";4,398;Données Consolidées
1996-09;"Hydropower";4,16;Données Consolidées
1996-10;"Hydropower";4,534;Données Consolidées
1996-11;"Hydropower";6,017;Données Consolidées
1996-12;"Hydropower";8,375;Données Consolidées
1997-01;"Hydropower";7,622;Données Consolidées
1997-02;"Hydropower";5,982;Données Consolidées
1997-03;"Hydropower";5,32;Données Consolidées
1997-04;"Hydropower";4,461;Données Consolidées
1997-05;"Hydropower";5,75;Données Consolidées
1997-06;"Hydropower";5,946;Données Consolidées
1997-07;"Hydropower";6,626;Données Consolidées
1997-08;"Hydropower";5,045;Données Consolidées
1997-09;"Hydropower";4,564;Données Consolidées
1997-10;"Hydropower";4,48;Données Consolidées
1997-11;"Hydropower";4,919;Données Consolidées
1997-12;"Hydropower";6,512;Données Consolidées
1998-01;"Hydropower";6,864;Données Consolidées
1998-02;"Hydropower";5,133;Données Consolidées
1998-03;"Hydropower";5,152;Données Consolidées
1998-04;"Hydropower";6,204;Données Consolidées
1998-05;"Hydropower";6,425;Données Consolidées
1998-06;"Hydropower";6,259;Données Consolidées
1998-07;"Hydropower";4,333;Données Consolidées
1998-08;"Hydropower";3,404;Données Consolidées
1998-09;"Hydropower";4,024;Données Consolidées
1998-10;"Hydropower";6,085;Données Consolidées
1998-11;"Hydropower";6,365;Données Consolidées
1998-12;"Hydropower";5,547;Données Consolidées
1999-01;"Hydropower";5,242;Données Consolidées
1999-02;"Hydropower";6,281;Données Consolidées
1999-03;"Hydropower";6,894;Données Consolidées
1999-04;"Hydropower";6,589;Données Consolidées
1999-05;"Hydropower";8,47;Données Consolidées
1999-06;"Hydropower";7,103;Données Consolidées
1999-07;"Hydropower";5,762;Données Consolidées
1999-08;"Hydropower";4,966;Données Consolidées
1999-09;"Hydropower";4,985;Données Consolidées
1999-10;"Hydropower";6,307;Données Consolidées
1999-11;"Hydropower";6,719;Données Consolidées
1999-12;"Hydropower";7,376;Données Consolidées
2000-01;"Hydropower";5,738;Données Consolidées
2000-02;"Hydropower";5,61;Données Consolidées
2000-03;"Hydropower";6,087;Données Consolidées
2000-04;"Hydropower";6,201;Données Consolidées
2000-05;"Hydropower";7,575;Données Consolidées
2000-06;"Hydropower";6,252;Données Consolidées
2000-07;"Hydropower";5,072;Données Consolidées
2000-08;"Hydropower";4,702;Données Consolidées
2000-09;"Hydropower";4,584;Données Consolidées
2000-10;"Hydropower";5,593;Données Consolidées
2000-11;"Hydropower";7,352;Données Consolidées
2000-12;"Hydropower";6,827;Données Consolidées
2001-01;"Hydropower";7,678;Données Consolidées
2001-02;"Hydropower";6,641;Données Consolidées
2001-03;"Hydropower";8,341;Données Consolidées
2001-04;"Hydropower";8,642;Données Consolidées
2001-05;"Hydropower";8,687;Données Consolidées
2001-06;"Hydropower";7,086;Données Consolidées
2001-07;"Hydropower";6,585;Données Consolidées
2001-08;"Hydropower";4,884;Données Consolidées
2001-09;"Hydropower";4,53;Données Consolidées
2001-10;"Hydropower";4,93;Données Consolidées
2001-11;"Hydropower";4,506;Données Consolidées
2001-12;"Hydropower";4,8;Données Consolidées
2002-01;"Hydropower";4,423;Données Consolidées
2002-02;"Hydropower";4,222;Données Consolidées
2002-03;"Hydropower";5,739;Données Consolidées
2002-04;"Hydropower";4,293;Données Consolidées
2002-05;"Hydropower";6,069;Données Consolidées
2002-06;"Hydropower";6,23;Données Consolidées
2002-07;"Hydropower";4,82;Données Consolidées
2002-08;"Hydropower";4,775;Données Consolidées
2002-09;"Hydropower";4,765;Données Consolidées
2002-10;"Hydropower";5,624;Données Consolidées
2002-11;"Hydropower";6,799;Données Consolidées
2002-12;"Hydropower";7,694;Données Consolidées
2003-01;"Hydropower";8,451;Données Consolidées
2003-02;"Hydropower";7,303;Données Consolidées
2003-03;"Hydropower";6,424;Données Consolidées
2003-04;"Hydropower";5,001;Données Consolidées
2003-05;"Hydropower";5,743;Données Consolidées
2003-06;"Hydropower";5,384;Données Consolidées
2003-07;"Hydropower";3,957;Données Consolidées
2003-08;"Hydropower";3,699;Données Consolidées
2003-09;"Hydropower";3,429;Données Consolidées
2003-10;"Hydropower";4,832;Données Consolidées
2003-11;"Hydropower";4,539;Données Consolidées
2003-12;"Hydropower";5,565;Données Consolidées
2004-01;"Hydropower";7,034;Données Consolidées
2004-02;"Hydropower";6,317;Données Consolidées
2004-03;"Hydropower";6,625;Données Consolidées
2004-04;"Hydropower";5,546;Données Consolidées
2004-05;"Hydropower";6,548;Données Consolidées
2004-06;"Hydropower";6,087;Données Consolidées
2004-07;"Hydropower";4,838;Données Consolidées
2004-08;"Hydropower";4,273;Données Consolidées
2004-09;"Hydropower";3,858;Données Consolidées
2004-10;"Hydropower";4,171;Données Consolidées
2004-11;"Hydropower";4,341;Données Consolidées
2004-12;"Hydropower";4,733;Données Consolidées
2005-01;"Hydropower";5,022;Données Consolidées
2005-02;"Hydropower";5,366;Données Consolidées
2005-03;"Hydropower";5,078;Données Consolidées
2005-04;"Hydropower";6,012;Données Consolidées
2005-05;"Hydropower";6,212;Données Consolidées
2005-06;"Hydropower";4,956;Données Consolidées
2005-07;"Hydropower";4,111;Données Consolidées
2005-08;"Hydropower";3,633;Données Consolidées
2005-09;"Hydropower";3,861;Données Consolidées
2005-10;"Hydropower";3,752;Données Consolidées
2005-11;"Hydropower";3,863;Données Consolidées
2005-12;"Hydropower";4,313;Données Consolidées
2006-01;"Hydropower";4,21;Données Consolidées
2006-02;"Hydropower";4,574;Données Consolidées
2006-03;"Hydropower";6,548;Données Consolidées
2006-04;"Hydropower";6,968;Données Consolidées
2006-05;"Hydropower";6,719;Données Consolidées
2006-06;"Hydropower";5,092;Données Consolidées
2006-07;"Hydropower";4,386;Données Consolidées
2006-08;"Hydropower";3,954;Données Consolidées
2006-09;"Hydropower";4,298;Données Consolidées
2006-10;"Hydropower";4,994;Données Consolidées
2006-11;"Hydropower";4,084;Données Consolidées
2006-12;"Hydropower";5,16;Données Consolidées
2007-01;"Hydropower";5,366;Données Consolidées
2007-02;"Hydropower";5,535;Données Consolidées
2007-03;"Hydropower";6,759;Données Consolidées
2007-04;"Hydropower";5,331;Données Consolidées
2007-05;"Hydropower";6,046;Données Consolidées
2007-06;"Hydropower";7,209;Données Consolidées
2007-07;"Hydropower";6,147;Données Consolidées
2007-08;"Hydropower";5,077;Données Consolidées
2007-09;"Hydropower";3,968;Données Consolidées
2007-10;"Hydropower";3,898;Données Consolidées
2007-11;"Hydropower";3,351;Données Consolidées
2007-12;"Hydropower";4,591;Données Consolidées
2008-01;"Hydropower";6,038;Données Consolidées
2008-02;"Hydropower";4,419;Données Consolidées
2008-03;"Hydropower";5,528;Données Consolidées
2008-04;"Hydropower";6,986;Données Consolidées
2008-05;"Hydropower";7,168;Données Consolidées
2008-06;"Hydropower";8,313;Données Consolidées
2008-07;"Hydropower";5,981;Données Consolidées
2008-08;"Hydropower";4,248;Données Consolidées
2008-09;"Hydropower";4,832;Données Consolidées
2008-10;"Hydropower";3,749;Données Consolidées
2008-11;"Hydropower";5,101;Données Consolidées
2008-12;"Hydropower";5,633;Données Consolidées
2009-01;"Hydropower";6,08;Données Consolidées
2009-02;"Hydropower";5,79;Données Consolidées
2009-03;"Hydropower";6,208;Données Consolidées
2009-04;"Hydropower";6,593;Données Consolidées
2009-05;"Hydropower";7,057;Données Consolidées
2009-06;"Hydropower";6,312;Données Consolidées
2009-07;"Hydropower";4,872;Données Consolidées
2009-08;"Hydropower";3,867;Données Consolidées
2009-09;"Hydropower";2,977;Données Consolidées
2009-10;"Hydropower";3,069;Données Consolidées
2009-11;"Hydropower";3,79;Données Consolidées
2009-12;"Hydropower";5,269;Données Consolidées
2010-01;"Hydropower";6,307;Données Consolidées
2010-02;"Hydropower";5,887;Données Consolidées
2010-03;"Hydropower";6,204;Données Consolidées
2010-04;"Hydropower";5,684;Données Consolidées
2010-05;"Hydropower";6,428;Données Consolidées
2010-06;"Hydropower";7,263;Données Consolidées
2010-07;"Hydropower";5,41;Données Consolidées
2010-08;"Hydropower";4,348;Données Consolidées
2010-09;"Hydropower";3,594;Données Consolidées
2010-10;"Hydropower";4,023;Données Consolidées
2010-11;"Hydropower";5,466;Données Consolidées
