Item_Code,Item_Name,Country,Date,Index,Anchor_2015,Estimated_Price_Euro
CP01113,Bread,AL,2021-01,100.99,1.25,1.262375
CP01113,Bread,AT,2021-01,108.98,1.25,1.3622500000000002
CP01113,Bread,BE,2021-01,106.49,1.25,1.331125
CP01113,Bread,BG,2021-01,133.42,1.25,1.6677499999999998
CP01113,Bread,CH,2021-01,99.48,1.25,1.2435
CP01113,Bread,CY,2021-01,99.27,1.25,1.240875
CP01113,Bread,CZ,2021-01,112.1,1.25,1.40125
CP01113,Bread,DE,2021-01,110.9,1.25,1.38625
CP01113,Bread,DK,2021-01,113.4,1.25,1.4175000000000002
CP01113,Bread,EA,2021-01,104.85,1.25,1.310625
CP01113,Bread,EE,2021-01,114.06,1.25,1.42575
CP01113,Bread,EL,2021-01,96.69,1.25,1.208625
CP01113,Bread,ES,2021-01,102.89,1.25,1.286125
CP01113,Bread,EU,2021-01,108.86,1.25,1.36075
CP01113,Bread,FI,2021-01,101.11,1.25,1.2638749999999999
CP01113,Bread,FR,2021-01,103.74,1.25,1.2967499999999998
CP01113,Bread,HR,2021-01,105.74,1.25,1.3217499999999998
CP01113,Bread,HU,2021-01,132.54,1.25,1.65675
CP01113,Bread,IE,2021-01,98.2,1.25,1.2275
CP01113,Bread,IS,2021-01,115.17,1.25,1.439625
CP01113,Bread,IT,2021-01,104.5,1.25,1.30625
CP01113,Bread,LT,2021-01,110.01,1.25,1.3751250000000002
CP01113,Bread,LU,2021-01,113.2,1.25,1.415
CP01113,Bread,LV,2021-01,115.08,1.25,1.4385000000000001
CP01113,Bread,ME,2021-01,106.15,1.25,1.3268750000000002
CP01113,Bread,MK,2021-01,105.47,1.25,1.318375
CP01113,Bread,MT,2021-01,123.69,1.25,1.546125
CP01113,Bread,NL,2021-01,103.63,1.25,1.295375
CP01113,Bread,NO,2021-01,110.7,1.25,1.38375
CP01113,Bread,PL,2021-01,131.3,1.25,1.6412500000000003
CP01113,Bread,PT,2021-01,103.5,1.25,1.29375
CP01113,Bread,RO,2021-01,118.54,1.25,1.48175
CP01113,Bread,RS,2021-01,105.2,1.25,1.315
CP01113,Bread,SE,2021-01,107.03,1.25,1.337875
CP01113,Bread,SI,2021-01,105.81,1.25,1.322625
CP01113,Bread,SK,2021-01,117.64,1.25,1.4705000000000001
CP01113,Bread,XK,2021-01,123.95,1.25,1.549375
CP0112,Meat,AL,2021-01,104.16,10.5,10.936799999999998
CP0112,Meat,AT,2021-01,107.35,10.5,11.271749999999999
CP0112,Meat,BE,2021-01,107.17,10.5,11.25285
CP0112,Meat,BG,2021-01,120.23,10.5,12.624150000000002
CP0112,Meat,CH,2021-01,105.86,10.5,11.1153
CP0112,Meat,CY,2021-01,95.0,10.5,9.975
CP0112,Meat,CZ,2021-01,117.0,10.5,12.285
CP0112,Meat,DE,2021-01,115.5,10.5,12.1275
CP0112,Meat,DK,2021-01,104.4,10.5,10.962
CP0112,Meat,EA,2021-01,108.96,10.5,11.4408
CP0112,Meat,EE,2021-01,111.06,10.5,11.6613
CP0112,Meat,EL,2021-01,101.38,10.5,10.6449
CP0112,Meat,ES,2021-01,107.66,10.5,11.3043
CP0112,Meat,EU,2021-01,109.73,10.5,11.52165
CP0112,Meat,FI,2021-01,103.22,10.5,10.8381
CP0112,Meat,FR,2021-01,108.26,10.5,11.3673
CP0112,Meat,HR,2021-01,103.33,10.5,10.849649999999999
CP0112,Meat,HU,2021-01,114.22,10.5,11.993099999999998
CP0112,Meat,IE,2021-01,91.3,10.5,9.5865
CP0112,Meat,IS,2021-01,108.63,10.5,11.40615
CP0112,Meat,IT,2021-01,106.3,10.5,11.1615
CP0112,Meat,LT,2021-01,112.44,10.5,11.8062
CP0112,Meat,LU,2021-01,113.25,10.5,11.891250000000001
CP0112,Meat,LV,2021-01,112.8,10.5,11.844
CP0112,Meat,ME,2021-01,103.58,10.5,10.875900000000001
CP0112,Meat,MK,2021-01,107.49,10.5,11.28645
CP0112,Meat,MT,2021-01,109.67,10.5,11.51535
CP0112,Meat,NL,2021-01,115.15,10.5,12.09075
CP0112,Meat,NO,2021-01,106.7,10.5,11.2035
CP0112,Meat,PL,2021-01,118.3,10.5,12.4215
CP0112,Meat,PT,2021-01,106.8,10.5,11.214
CP0112,Meat,RO,2021-01,115.47,10.5,12.12435
CP0112,Meat,RS,2021-01,109.3,10.5,11.4765
CP0112,Meat,SE,2021-01,113.5,10.5,11.9175
CP0112,Meat,SI,2021-01,118.16,10.5,12.4068
CP0112,Meat,SK,2021-01,115.23,10.5,12.099150000000002
CP0112,Meat,TR,2021-01,190.27,10.5,19.97835
CP0112,Meat,XK,2021-01,110.71,10.5,11.62455
CP0114,"Milk, cheese and eggs",AL,2021-01,113.2,1.0,1.1320000000000001
CP0114,"Milk, cheese and eggs",AT,2021-01,104.97,1.0,1.0497
CP0114,"Milk, cheese and eggs",BE,2021-01,109.11,1.0,1.0911
CP0114,"Milk, cheese and eggs",BG,2021-01,115.23,1.0,1.1523
CP0114,"Milk, cheese and eggs",CH,2021-01,100.73,1.0,1.0073
CP0114,"Milk, cheese and eggs",CY,2021-01,100.09,1.0,1.0009000000000001
CP0114,"Milk, cheese and eggs",CZ,2021-01,109.5,1.0,1.095
CP0114,"Milk, cheese and eggs",DE,2021-01,112.9,1.0,1.129
CP0114,"Milk, cheese and eggs",DK,2021-01,104.5,1.0,1.045
CP0114,"Milk, cheese and eggs",EA,2021-01,105.61,1.0,1.0561
CP0114,"Milk, cheese and eggs",EE,2021-01,107.21,1.0,1.0720999999999998
CP0114,"Milk, cheese and eggs",EL,2021-01,99.64,1.0,0.9964
CP0114,"Milk, cheese and eggs",ES,2021-01,101.15,1.0,1.0115
CP0114,"Milk, cheese and eggs",EU,2021-01,106.64,1.0,1.0664
CP0114,"Milk, cheese and eggs",FI,2021-01,99.75,1.0,0.9975
CP0114,"Milk, cheese and eggs",FR,2021-01,104.06,1.0,1.0406
CP0114,"Milk, cheese and eggs",HR,2021-01,101.45,1.0,1.0145
CP0114,"Milk, cheese and eggs",HU,2021-01,112.95,1.0,1.1295
CP0114,"Milk, cheese and eggs",IE,2021-01,93.8,1.0,0.938
CP0114,"Milk, cheese and eggs",IS,2021-01,124.74,1.0,1.2473999999999998
CP0114,"Milk, cheese and eggs",IT,2021-01,103.0,1.0,1.03
CP0114,"Milk, cheese and eggs",LT,2021-01,114.15,1.0,1.1415
CP0114,"Milk, cheese and eggs",LU,2021-01,106.44,1.0,1.0644
CP0114,"Milk, cheese and eggs",LV,2021-01,115.29,1.0,1.1529
CP0114,"Milk, cheese and eggs",ME,2021-01,106.4,1.0,1.064
CP0114,"Milk, cheese and eggs",MK,2021-01,104.5,1.0,1.045
CP0114,"Milk, cheese and eggs",MT,2021-01,112.82,1.0,1.1281999999999999
CP0114,"Milk, cheese and eggs",NL,2021-01,112.37,1.0,1.1237000000000001
CP0114,"Milk, cheese and eggs",NO,2021-01,107.1,1.0,1.071
CP0114,"Milk, cheese and eggs",PL,2021-01,114.6,1.0,1.146
CP0114,"Milk, cheese and eggs",PT,2021-01,96.99,1.0,0.9699
CP0114,"Milk, cheese and eggs",RO,2021-01,112.54,1.0,1.1254
CP0114,"Milk, cheese and eggs",RS,2021-01,106.2,1.0,1.062
CP0114,"Milk, cheese and eggs",SE,2021-01,107.73,1.0,1.0773000000000001
CP0114,"Milk, cheese and eggs",SI,2021-01,104.06,1.0,1.0406
CP0114,"Milk, cheese and eggs",SK,2021-01,109.5,1.0,1.095
CP0114,"Milk, cheese and eggs",TR,2021-01,233.84,1.0,2.3384
CP0114,"Milk, cheese and eggs",XK,2021-01,111.65,1.0,1.1165
CP0115,Oils and fats,AL,2021-01,106.54,1.6,1.7046400000000004
CP0115,Oils and fats,AT,2021-01,110.06,1.6,1.76096
CP0115,Oils and fats,BE,2021-01,120.15,1.6,1.9224
CP0115,Oils and fats,BG,2021-01,119.78,1.6,1.91648
CP0115,Oils and fats,CH,2021-01,103.65,1.6,1.6584
CP0115,Oils and fats,CY,2021-01,103.03,1.6,1.6484800000000002
CP0115,Oils and fats,CZ,2021-01,114.4,1.6,1.8304000000000002
CP0115,Oils and fats,DE,2021-01,122.4,1.6,1.9584000000000001
CP0115,Oils and fats,DK,2021-01,115.9,1.6,1.8544
CP0115,Oils and fats,EA,2021-01,108.93,1.6,1.7428800000000004
CP0115,Oils and fats,EE,2021-01,114.76,1.6,1.83616
CP0115,Oils and fats,EL,2021-01,98.79,1.6,1.5806400000000003
CP0115,Oils and fats,ES,2021-01,91.72,1.6,1.4675200000000002
CP0115,Oils and fats,EU,2021-01,110.02,1.6,1.76032
CP0115,Oils and fats,FI,2021-01,107.6,1.6,1.7215999999999998
CP0115,Oils and fats,FR,2021-01,116.19,1.6,1.85904
CP0115,Oils and fats,HR,2021-01,107.9,1.6,1.7264
CP0115,Oils and fats,HU,2021-01,121.15,1.6,1.9384000000000001
CP0115,Oils and fats,IE,2021-01,103.5,1.6,1.656
CP0115,Oils and fats,IS,2021-01,126.98,1.6,2.03168
CP0115,Oils and fats,IT,2021-01,101.8,1.6,1.6288
CP0115,Oils and fats,LT,2021-01,129.33,1.6,2.0692800000000005
CP0115,Oils and fats,LU,2021-01,112.23,1.6,1.7956800000000002
CP0115,Oils and fats,LV,2021-01,121.11,1.6,1.9377600000000001
CP0115,Oils and fats,ME,2021-01,113.96,1.6,1.82336
CP0115,Oils and fats,MK,2021-01,111.46,1.6,1.78336
CP0115,Oils and fats,MT,2021-01,110.5,1.6,1.768
CP0115,Oils and fats,NL,2021-01,119.81,1.6,1.91696
CP0115,Oils and fats,NO,2021-01,126.6,1.6,2.0256000000000003
CP0115,Oils and fats,PL,2021-01,115.8,1.6,1.8528
CP0115,Oils and fats,PT,2021-01,99.29,1.6,1.5886400000000003
CP0115,Oils and fats,RO,2021-01,114.93,1.6,1.83888
CP0115,Oils and fats,RS,2021-01,120.7,1.6,1.9312000000000002
CP0115,Oils and fats,SE,2021-01,124.81,1.6,1.99696
CP0115,Oils and fats,SI,2021-01,101.72,1.6,1.6275199999999999
CP0115,Oils and fats,SK,2021-01,106.09,1.6,1.69744
CP0115,Oils and fats,TR,2021-01,248.08,1.6,3.969280000000001
CP0115,Oils and fats,XK,2021-01,113.21,1.6,1.8113599999999999
CP0116,Fruit,AL,2021-01,161.18,2.15,3.46537
CP0116,Fruit,AT,2021-01,99.31,2.15,2.1351649999999998
CP0116,Fruit,BE,2021-01,95.99,2.15,2.0637849999999998
CP0116,Fruit,BG,2021-01,104.38,2.15,2.24417
CP0116,Fruit,CH,2021-01,98.1,2.15,2.10915
CP0116,Fruit,CY,2021-01,109.61,2.15,2.356615
CP0116,Fruit,CZ,2021-01,115.7,2.15,2.48755
CP0116,Fruit,DE,2021-01,115.2,2.15,2.4768000000000003
CP0116,Fruit,DK,2021-01,106.5,2.15,2.2897499999999997
CP0116,Fruit,EA,2021-01,114.59,2.15,2.4636850000000003
CP0116,Fruit,EE,2021-01,120.49,2.15,2.5905349999999996
CP0116,Fruit,EL,2021-01,102.11,2.15,2.195365
CP0116,Fruit,ES,2021-01,117.37,2.15,2.523455
CP0116,Fruit,EU,2021-01,115.57,2.15,2.484755
CP0116,Fruit,FI,2021-01,103.41,2.15,2.223315
CP0116,Fruit,FR,2021-01,121.36,2.15,2.60924
CP0116,Fruit,HR,2021-01,101.0,2.15,2.1715
CP0116,Fruit,HU,2021-01,142.76,2.15,3.06934
CP0116,Fruit,IE,2021-01,95.9,2.15,2.06185
CP0116,Fruit,IS,2021-01,110.36,2.15,2.37274
CP0116,Fruit,IT,2021-01,113.9,2.15,2.4488499999999997
CP0116,Fruit,LT,2021-01,107.42,2.15,2.30953
CP0116,Fruit,LU,2021-01,110.94,2.15,2.38521
CP0116,Fruit,LV,2021-01,117.24,2.15,2.5206599999999995
CP0116,Fruit,ME,2021-01,111.53,2.15,2.3978949999999997
CP0116,Fruit,MK,2021-01,92.06,2.15,1.9792899999999998
CP0116,Fruit,MT,2021-01,124.9,2.15,2.68535
CP0116,Fruit,NL,2021-01,110.96,2.15,2.3856399999999995
CP0116,Fruit,NO,2021-01,106.6,2.15,2.2918999999999996
CP0116,Fruit,PL,2021-01,129.2,2.15,2.7777999999999996
CP0116,Fruit,PT,2021-01,114.45,2.15,2.460675
CP0116,Fruit,RO,2021-01,111.92,2.15,2.4062799999999998
CP0116,Fruit,RS,2021-01,100.1,2.15,2.15215
CP0116,Fruit,SE,2021-01,109.28,2.15,2.34952
CP0116,Fruit,SI,2021-01,129.82,2.15,2.79113
CP0116,Fruit,SK,2021-01,111.67,2.15,2.400905
CP0116,Fruit,TR,2021-01,200.18,2.15,4.303870000000001
CP0116,Fruit,XK,2021-01,84.7,2.15,1.8210499999999998
CP0117,Vegetables,AL,2021-01,174.15,2.2,3.8313000000000006
